Retailer,Brand,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,
Walmart,ADIDAS,1128299,10/26/2021,Southeast,Florida,Orlando,Beach Shorts,103,218,22454,11227,50%,Online,
West Gear,ADIDAS,1128299,10/27/2021,South,Louisiana,New Orleans,Five Ten Kestrel Lace Mountain Bike Shoes,103,163,16789,5037,30%,Online,
Sports Direct,ADIDAS,1197831,10/28/2021,South,Alabama,Birmingham,Mexico Away Jersey,10,700,7000,2450,35%,Outlet,
Sports Direct,ADIDAS,1197831,10/29/2021,South,Alabama,Birmingham,Five Ten Hiangle Pro Competition Climbing Shoes,15,575,8625,3019,35%,Outlet,
Sports Direct,ADIDAS,1197831,10/30/2021,South,Alabama,Birmingham,Mesh Broken-Stripe Polo Shirt,15,475,7125,2138,30%,Outlet,
West Gear,ADIDAS,1185732,10/31/2021,Midwest,Missouri,St. Louis,EQT Spikeless Golf Shoes,15,475,7125,1781,25%,In-store,
Sports Direct,ADIDAS,1185732,11/1/2021,South,Mississippi,Jackson,Adicross Hybrid Shorts,20,450,9000,4500,50%,Online,
Sports Direct,ADIDAS,1197831,11/2/2021,South,Mississippi,Jackson,Tiro 21 Windbreaker,15,450,6750,2025,30%,Online,
West Gear,ADIDAS,1185732,11/3/2021,Midwest,Wisconsin,Milwaukee,Classic 3-Stripes Swimsuit,20,450,9000,3150,35%,In-store,
Foot Locker,ADIDAS,1185732,11/4/2021,Northeast,New York,New York,Tiro 21 Windbreaker,44,434,19096,6684,35%,Outlet,
Foot Locker,ADIDAS,1185732,11/5/2021,Midwest,Michigan,Detroit,Formotion Sculpt Biker Short Tights,20,425,8500,2550,30%,In-store,
West Gear,ADIDAS,1185732,11/6/2021,Midwest,Missouri,St. Louis,Athletic Cushioned Crew Socks 6 Pairs,15,425,6375,1594,25%,In-store,
West Gear,ADIDAS,1185732,11/7/2021,West,Utah,Salt Lake City,Inter Miami CF Home Authentic Jersey,20,425,8500,4250,50%,In-store,
Amazon,ADIDAS,1185732,11/8/2021,Midwest,Ohio,Columbus,Cushioned Mid-Crew Socks 2 Pairs,20,425,8500,2550,30%,Online,
Foot Locker,ADIDAS,1185732,11/9/2021,South,Mississippi,Jackson,Tour Camo-Print Hat,15,425,6375,2231,35%,Online,
Walmart,ADIDAS,1185732,11/10/2021,South,Mississippi,Jackson,Essentials Loose Logo Tank Top,20,425,8500,2975,35%,Online,
Walmart,ADIDAS,1197831,11/11/2021,South,Arkansas,Little Rock,Essentials Loose Logo Tank Top,20,425,8500,2550,30%,Online,
Walmart,ADIDAS,1197831,11/12/2021,South,Arkansas,Little Rock,Superstar Shoes,20,425,8500,2125,25%,Online,
Walmart,ADIDAS,1185732,11/13/2021,Northeast,New York,New York,Essentials Loose Logo Tank Top,48,420,20160,10080,50%,Outlet,
Walmart,ADIDAS,1185732,11/14/2021,Northeast,New York,New York,Formotion Sculpt Tights,39,408,15912,4774,30%,Outlet,
Walmart,ADIDAS,1185732,11/15/2021,Northeast,New York,New York,Marvel X Ghosted.3 Firm Ground Cleats,46,403,18538,6488,35%,Outlet,
West Gear,ADIDAS,1185732,11/16/2021,West,Utah,Salt Lake City,Pureboost 21 Shoes,20,400,8000,2800,35%,In-store,
West Gear,ADIDAS,1185732,11/17/2021,West,Utah,Salt Lake City,Lite Racer BYD 2.0 Shoes,20,400,8000,2400,30%,In-store,
West Gear,ADIDAS,1185732,11/18/2021,West,Utah,Salt Lake City,Adilette Shower Slides,20,400,8000,2000,25%,In-store,
West Gear,ADIDAS,1185732,11/19/2021,West,Utah,Salt Lake City,Essentials Loose Logo Tank Top,20,400,8000,4000,50%,In-store,
Walmart,ADIDAS,1185732,11/20/2021,South,Mississippi,Jackson,Conext 21 Mini Ball,20,400,8000,2400,30%,Online,
Sports Direct,ADIDAS,1197831,11/21/2021,South,Mississippi,Jackson,Essentials Logo Dress,15,400,6000,2100,35%,Online,
Foot Locker,ADIDAS,1185732,11/22/2021,Northeast,New York,New York,Copa Sense.3 Turf Shoes,47,400,18800,6580,35%,Outlet,
Foot Locker,ADIDAS,1185732,11/23/2021,Northeast,New York,New York,Best Version of Myself Slogan Graphic Tank Top,40,390,15600,4680,30%,Outlet,
Foot Locker,ADIDAS,1185732,11/24/2021,Northeast,New York,New York,Essentials 3-Stripes Full-Zip Hoodie,33,388,12804,3201,25%,Outlet,
Foot Locker,ADIDAS,1185732,11/25/2021,Northeast,New York,New York,Best Version of Myself Slogan Graphic Tank Top,34,384,13056,6528,50%,Outlet,
Foot Locker,ADIDAS,1185732,11/26/2021,Southeast,Georgia,Atlanta,adidas Sportswear Future Icons Logo Graphic Tee,31,376,11656,3497,30%,Outlet,
Sports Direct,ADIDAS,1197831,11/27/2021,South,Alabama,Birmingham,FutureNatural Shoes,20,375,7500,2625,35%,Outlet,
Foot Locker,ADIDAS,1185732,11/28/2021,Midwest,Michigan,Detroit,Marvel Superhero Racer TR 2.0 Shoes,20,375,7500,2625,35%,In-store,
West Gear,ADIDAS,1185732,11/29/2021,West,Utah,Salt Lake City,Primegreen Essentials Warm-Up Slim 3-Stripes Track Jacket,20,375,7500,2250,30%,In-store,
West Gear,ADIDAS,1185732,11/30/2021,West,Utah,Salt Lake City,Sherpa Jacket,20,375,7500,1875,25%,In-store,
Foot Locker,ADIDAS,1185732,12/1/2021,South,Mississippi,Jackson,Sherpa Jacket,15,375,5625,2813,50%,Online,
West Gear,ADIDAS,1197831,12/2/2021,South,Arkansas,Little Rock,Yoga Pants,15,375,5625,1688,30%,Online,
West Gear,ADIDAS,1197831,12/3/2021,South,Arkansas,Little Rock,AEROREADY Designed 2 Move Feelready Sport Long Sleeve Tee,15,375,5625,1969,35%,Online,
Foot Locker,ADIDAS,1185732,12/4/2021,Northeast,New York,New York,Essentials French Terry 3-Stripes Hoodie,41,375,15375,5381,35%,Outlet,
Walmart,ADIDAS,1197831,12/5/2021,South,Texas,Houston,Fluidflash Shoes,29,374,10846,3254,30%,Outlet,
Walmart,ADIDAS,1197831,12/6/2021,South,Texas,Houston,Essentials Slim Logo Shorts,29,374,10846,2712,25%,Outlet,
Foot Locker,ADIDAS,1185732,12/7/2021,Northeast,New York,New York,Essentials 3-Stripes Crop Top,33,372,12276,6138,50%,Outlet,
Foot Locker,ADIDAS,1185732,12/8/2021,Northeast,New York,New York,ZX 2K Boost Shoes,44,366,16104,4831,30%,Outlet,
Walmart,ADIDAS,1185732,12/9/2021,Northeast,New York,New York,Lite Racer BYD 2.0 Shoes,56,360,20160,7056,35%,Online,
Foot Locker,ADIDAS,1185732,12/10/2021,Northeast,New York,New York,Essentials 3-Stripes Full-Zip Hoodie,37,359,13283,4649,35%,Outlet,
Walmart,ADIDAS,1185732,12/11/2021,Northeast,New York,New York,ZX 2K Boost 2.0 Shoes,48,355,17040,5112,30%,Outlet,
Foot Locker,ADIDAS,1185732,12/12/2021,Northeast,New York,New York,Racer TR21 Shoes,46,354,16284,4071,25%,Online,
Foot Locker,ADIDAS,1185732,12/13/2021,Northeast,New York,New York,Aeromotion Pants,47,352,16544,8272,50%,Outlet,
Foot Locker,ADIDAS,1185732,12/14/2021,Midwest,Missouri,St. Louis,ZX 2K Boost 2.0 Shoes,25,350,8750,2625,30%,In-store,
Foot Locker,ADIDAS,1185732,12/15/2021,Midwest,Missouri,St. Louis,Crew Sweatshirt,25,350,8750,3063,35%,In-store,
Foot Locker,ADIDAS,1185732,12/16/2021,Midwest,Missouri,St. Louis,Allover Print Camo Shorts and Tee Set,25,350,8750,3063,35%,In-store,
Foot Locker,ADIDAS,1185732,12/17/2021,Midwest,Missouri,St. Louis,Marimekko Believe This Primegreen AEROREADY Training Bra,25,350,8750,2625,30%,In-store,
West Gear,ADIDAS,1185732,12/18/2021,West,Utah,Salt Lake City,Brand Love Repeat Logo High-Waist Woven Pants,25,350,8750,2188,25%,In-store,
West Gear,ADIDAS,1185732,12/19/2021,West,Utah,Salt Lake City,adidas x Zoe Saldana Feelbrilliant AEROREADY 3/4 Printed Sport Tights,10,350,3500,1050,30%,In-store,
Amazon,ADIDAS,1185732,12/20/2021,Midwest,Ohio,Columbus,Brand Love Repeat Logo High-Waist Woven Pants,25,350,8750,2188,25%,Online,
Walmart,ADIDAS,1185732,12/21/2021,South,Mississippi,Jackson,ZX 2K Boost 2.0 Shoes,25,350,8750,4375,50%,Online,
Sports Direct,ADIDAS,1197831,12/22/2021,South,Mississippi,Jackson,3-Stripes Low Cut Socks 3 Pairs,25,350,8750,2625,30%,Online,
Walmart,ADIDAS,1197831,12/23/2021,South,Arkansas,Little Rock,Future Icons 3-Stripes Tapered-Leg Pants,10,350,3500,1225,35%,Online,
Walmart,ADIDAS,1197831,12/24/2021,South,Arkansas,Little Rock,HEAT.RDY Warrior Tee,25,350,8750,3063,35%,Online,
Walmart,ADIDAS,1197831,12/25/2021,South,Arkansas,Little Rock,ZX 2K Boost 2.0 Shoes,15,350,5250,1575,30%,Online,
West Gear,ADIDAS,1197831,12/26/2021,South,Oklahoma,Oklahoma City,ZX 2K Boost Pure Shoes,20,350,7000,1750,25%,Online,
West Gear,ADIDAS,1197831,12/27/2021,South,Oklahoma,Oklahoma City,Racer TR21 Shoes,20,350,7000,3500,50%,Online,
Kohl's,ADIDAS,1197831,12/28/2021,South,Oklahoma,Oklahoma City,EQ21 Run Shoes,25,350,8750,2625,30%,Online,
Kohl's,ADIDAS,1197831,12/29/2021,South,Oklahoma,Oklahoma City,Racer TR21 Shoes,15,350,5250,1838,35%,Online,
Kohl's,ADIDAS,1197831,12/30/2021,South,Oklahoma,Oklahoma City,Delpala x FMF Shoes,25,350,8750,3063,35%,Online,
West Gear,ADIDAS,1185732,12/31/2021,Northeast,West Virginia,Charleston,ZX 1K Boost Shoes,25,350,8750,2625,30%,In-store,
Foot Locker,ADIDAS,1185732,1/1/2020,Northeast,New York,New York,ZX 1K Boost Shoes,32,350,11200,2800,25%,Outlet,
Foot Locker,ADIDAS,1185732,10/26/2021,Northeast,New York,New York,Puremotion Shoes,36,350,12600,4410,35%,Outlet,
Walmart,ADIDAS,1185732,10/27/2021,Northeast,New York,New York,ZX 2K Boost 2.0 Shoes,43,350,15050,5268,35%,Outlet,
Walmart,ADIDAS,1185732,10/28/2021,Northeast,New York,New York,ZX 2K Boost 2.0 Shoes,45,350,15750,5513,35%,Outlet,
