Retailer,Brand,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,NIKE,1185732,2020-01-01,Northeast,New York,New York,Nike Air Force 1 '07 Essential,50,1200,60000,30000,50%,In-store
Foot Locker,NIKE,1185732,2020-01-02,Northeast,New York,New York,Nike Air Force 1 '07,50,1000,50000,15000,30%,In-store
Foot Locker,NIKE,1185732,2020-01-03,Northeast,New York,New York,Nike Air Force 1 Sage Low LX,40,1000,40000,14000,35%,In-store
Foot Locker,NIKE,1185732,2020-01-04,Northeast,New York,New York,Nike Air Max Dia SE,45,850,38250,13388,35%,In-store
Foot Locker,NIKE,1185732,2020-01-05,Northeast,New York,New York,Nike Air Max Verona,60,900,54000,16200,30%,In-store
Foot Locker,NIKE,1185732,2020-01-06,Northeast,New York,New York,Nike Free Metcon 3,50,1000,50000,12500,25%,In-store
Foot Locker,NIKE,1185732,2020-01-07,Northeast,New York,New York,NikeCourt Blanc,50,1250,62500,31250,50%,In-store
Foot Locker,NIKE,1185732,2020-01-08,Northeast,New York,New York,Nike Free Metcon 3,50,900,45000,13500,30%,Outlet
Foot Locker,NIKE,1185732,2020-01-21,Northeast,New York,New York,Nike Zoom Pegasus Turbo 2,40,950,38000,13300,35%,Outlet
Foot Locker,NIKE,1185732,2020-01-22,Northeast,New York,New York,Nike Air Max 270 React ENG,45,825,37125,12994,35%,Outlet
Foot Locker,NIKE,1185732,2020-01-23,Northeast,New York,New York,Nike Air Max 90,60,900,54000,16200,30%,Outlet
Foot Locker,NIKE,1185732,2020-01-24,Northeast,New York,New York,Nike Air Force 1 '07,50,1000,50000,12500,25%,Outlet
Foot Locker,NIKE,1185732,2020-01-25,Northeast,New York,New York,Jordan Air Max 200 XX,50,1220,61000,30500,50%,Outlet
Foot Locker,NIKE,1185732,2020-01-26,Northeast,New York,New York,Nike SuperRep Go,50,925,46250,13875,30%,Outlet
Foot Locker,NIKE,1185732,2020-01-27,Northeast,New York,New York,Nike Air VaporMax Flyknit 3,40,950,38000,13300,35%,Outlet
Foot Locker,NIKE,1185732,2020-01-28,Northeast,New York,New York,Nike Air Zoom SuperRep,45,800,36000,12600,35%,Outlet
Foot Locker,NIKE,1185732,2020-01-29,Northeast,New York,New York,Nike Air Max 270 React ENG,60,850,51000,15300,30%,Outlet
Foot Locker,NIKE,1185732,2020-01-30,Northeast,New York,New York,Nike Air Max 97,50,950,47500,11875,25%,Outlet
