Retailer,Brand,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method
Foot Locker,PUMA,1185732,10/26/2021,Northeast,Pennsylvania,Philadelphia,Slipstream Women's Sneakers,131,125,16435,5752,35%,Outlet
Foot Locker,PUMA,1185732,10/27/2021,Northeast,Pennsylvania,Philadelphia,Mayze Crashed PRM Women's Sneakers,148,225,33282,9984,30%,Outlet
Foot Locker,PUMA,1185732,10/28/2021,Northeast,Pennsylvania,Philadelphia,Mayze Crashed PRM Women's Sneakers,148,475,70261,38644,55%,Outlet
Foot Locker,PUMA,1185732,10/29/2021,Northeast,Pennsylvania,Philadelphia,Blktop Rider Femme Women's Sneakers,148,125,18490,6471,35%,Outlet
Foot Locker,PUMA,1185732,10/30/2021,Northeast,Pennsylvania,Philadelphia,Blktop Rider Femme Women's Sneakers,148,175,25886,10354,40%,Outlet
Foot Locker,PUMA,1185732,10/31/2021,Northeast,Pennsylvania,Philadelphia,Muse X-2 Metallic V1 Women's Sneakers,115,50,5752,2301,40%,Outlet
Foot Locker,PUMA,1185732,11/1/2021,Northeast,Pennsylvania,Philadelphia,PUMA Cali Court Patent Women's Sneakers,123,125,15408,5393,35%,Outlet
Foot Locker,PUMA,1185732,11/2/2021,Northeast,Pennsylvania,Philadelphia,PUMA Cali Court Patent Women's Sneakers,123,225,27734,8320,30%,Outlet
Foot Locker,PUMA,1185732,11/3/2021,Northeast,Pennsylvania,Philadelphia,Cruise Rider V1 Women's Sneakers,123,445,54851,30168,55%,Outlet
Foot Locker,PUMA,1185732,11/4/2021,Northeast,Pennsylvania,Philadelphia,Cruise Rider V1 Women's Sneakers,123,150,18489,6471,35%,Outlet
Foot Locker,PUMA,1185732,11/5/2021,Northeast,Pennsylvania,Philadelphia,Mayze Crashed Women's Sneakers,219,175,38351,15341,40%,Outlet
Foot Locker,PUMA,1185732,11/6/2021,Northeast,Pennsylvania,Philadelphia,Mayze Crashed Women's Sneakers,219,25,5479,2192,40%,Outlet
Foot Locker,PUMA,1185732,11/7/2021,Northeast,Pennsylvania,Philadelphia,Infusion Premium Women's Training Shoes,107,75,8012,2403,30%,Outlet
Foot Locker,PUMA,1185732,11/8/2021,Northeast,Pennsylvania,Philadelphia,Infusion Premium Women's Training Shoes,107,175,18694,4673,25%,Outlet
Foot Locker,PUMA,1185732,11/9/2021,Northeast,Pennsylvania,Philadelphia,Infusion Premium Women's Training Shoes,107,450,48070,24035,50%,Outlet
Foot Locker,PUMA,1185732,11/10/2021,Northeast,Pennsylvania,Philadelphia,Hybrid Fuego Women's Running Shoes,84,150,12653,3796,30%,Outlet
Foot Locker,PUMA,1185732,11/11/2021,Northeast,Pennsylvania,Philadelphia,Hybrid Fuego Women's Running Shoes,84,150,12653,4429,35%,Outlet
Foot Locker,PUMA,1185732,11/12/2021,Northeast,Pennsylvania,Philadelphia,Hybrid Fuego Women's Running Shoes,84,75,6327,2214,35%,Outlet
Foot Locker,PUMA,1185732,11/13/2021,Northeast,Pennsylvania,Philadelphia,Smashic Women's Sneakers,55,75,4149,1245,30%,Outlet
Foot Locker,PUMA,1185732,11/14/2021,Northeast,Pennsylvania,Philadelphia,Smashic Women's Sneakers,55,200,11063,2766,25%,Outlet
